user_id,variant,score
1448,C (Structured CoT),3
1115,A (Current),2
1065,A (Current),3
2288,C (Structured CoT),3
1538,C (Structured CoT),3
669,A (Current),3
1584,C (Structured CoT),4
2405,C (Structured CoT),3
498,A (Current),2
2481,C (Structured CoT),4
472,A (Current),4
247,A (Current),3
924,A (Current),3
1132,A (Current),1
671,A (Current),3
917,A (Current),3
1415,C (Structured CoT),5
1607,C (Structured CoT),4
403,A (Current),5
1104,A (Current),3
2073,C (Structured CoT),3
720,A (Current),2
2012,C (Structured CoT),4
2437,C (Structured CoT),5
197,A (Current),2
892,A (Current),3
1265,C (Structured CoT),2
1035,A (Current),3
1326,C (Structured CoT),4
510,A (Current),1
1428,C (Structured CoT),4
195,A (Current),2
1180,A (Current),4
2033,C (Structured CoT),4
933,A (Current),4
1125,A (Current),3
1823,C (Structured CoT),5
1367,C (Structured CoT),3
1993,C (Structured CoT),5
1259,C (Structured CoT),5
2275,C (Structured CoT),4
1274,C (Structured CoT),4
1937,C (Structured CoT),4
1267,C (Structured CoT),3
773,A (Current),2
1609,C (Structured CoT),3
1312,C (Structured CoT),4
135,A (Current),5
1856,C (Structured CoT),5
2400,C (Structured CoT),5
421,A (Current),4
1756,C (Structured CoT),4
708,A (Current),4
94,A (Current),1
57,A (Current),4
219,A (Current),2
1037,A (Current),3
1294,C (Structured CoT),4
1953,C (Structured CoT),4
1450,C (Structured CoT),2
2360,C (Structured CoT),5
1466,C (Structured CoT),4
299,A (Current),3
2178,C (Structured CoT),3
179,A (Current),3
1188,A (Current),4
1473,C (Structured CoT),3
189,A (Current),3
573,A (Current),1
434,A (Current),5
519,A (Current),2
2347,C (Structured CoT),3
2272,C (Structured CoT),5
1085,A (Current),4
1289,C (Structured CoT),4
1124,A (Current),2
1342,C (Structured CoT),4
2257,C (Structured CoT),4
1491,C (Structured CoT),4
44,A (Current),4
1879,C (Structured CoT),2
451,A (Current),5
2046,C (Structured CoT),2
45,A (Current),3
1284,C (Structured CoT),4
1968,C (Structured CoT),5
2091,C (Structured CoT),3
255,A (Current),1
1946,C (Structured CoT),5
1875,C (Structured CoT),5
1863,C (Structured CoT),3
565,A (Current),2
213,A (Current),3
867,A (Current),2
743,A (Current),3
1252,C (Structured CoT),3
1048,A (Current),3
1737,C (Structured CoT),5
1018,A (Current),2
171,A (Current),4
2097,C (Structured CoT),3
2488,C (Structured CoT),5
2218,C (Structured CoT),4
1798,C (Structured CoT),5
545,A (Current),4
1222,C (Structured CoT),5
464,A (Current),3
989,A (Current),1
1322,C (Structured CoT),4
603,A (Current),3
1337,C (Structured CoT),4
2340,C (Structured CoT),4
1261,C (Structured CoT),4
2115,C (Structured CoT),5
808,A (Current),3
887,A (Current),5
1583,C (Structured CoT),4
1615,C (Structured CoT),4
1838,C (Structured CoT),4
1874,C (Structured CoT),3
283,A (Current),3
211,A (Current),3
112,A (Current),3
1921,C (Structured CoT),4
2166,C (Structured CoT),5
458,A (Current),4
820,A (Current),4
2185,C (Structured CoT),3
1656,C (Structured CoT),5
253,A (Current),2
252,A (Current),5
1540,C (Structured CoT),4
2130,C (Structured CoT),5
1927,C (Structured CoT),3
1019,A (Current),2
423,A (Current),4
1176,A (Current),3
621,A (Current),4
174,A (Current),2
487,A (Current),4
1986,C (Structured CoT),3
1081,A (Current),2
1118,A (Current),3
1358,C (Structured CoT),2
1042,A (Current),4
1091,A (Current),3
1356,C (Structured CoT),5
212,A (Current),3
614,A (Current),4
2150,C (Structured CoT),5
465,A (Current),5
1468,C (Structured CoT),4
555,A (Current),3
908,A (Current),4
994,A (Current),3
1969,C (Structured CoT),5
1789,C (Structured CoT),5
1599,C (Structured CoT),4
97,A (Current),2
1965,C (Structured CoT),5
1365,C (Structured CoT),5
1925,C (Structured CoT),4
612,A (Current),2
446,A (Current),2
238,A (Current),2
2311,C (Structured CoT),4
874,A (Current),3
2498,C (Structured CoT),3
2055,C (Structured CoT),3
1674,C (Structured CoT),3
2123,C (Structured CoT),5
