user_id,variant,impression,conversion
user_1481,C,1,1
user_0756,A,1,0
user_0890,A,1,1
user_0034,A,1,0
user_1105,A,1,0
user_1662,C,1,1
user_0986,A,1,0
user_0030,A,1,0
user_1670,C,1,0
user_2055,C,1,0
user_0344,A,1,1
user_0894,A,1,0
user_0279,A,1,1
user_1258,A,1,0
user_0463,A,1,1
user_1216,A,1,0
user_0168,A,1,0
user_0475,A,1,1
user_2243,C,1,1
user_1417,C,1,1
user_1394,C,1,1
user_0367,A,1,1
user_0759,A,1,1
user_0158,A,1,1
user_1634,C,1,0
user_1331,C,1,0
user_0361,A,1,0
user_0979,A,1,1
user_0691,A,1,0
user_1947,C,1,0
user_1971,C,1,1
user_1160,A,1,1
user_0506,A,1,0
user_1214,A,1,1
user_0825,A,1,0
user_0046,A,1,1
user_1449,C,1,1
user_1836,C,1,0
user_0076,A,1,1
user_0486,A,1,0
user_0836,A,1,1
user_0444,A,1,0
user_1221,A,1,0
user_0223,A,1,1
user_1831,C,1,1
user_0652,A,1,1
user_1220,A,1,1
user_1804,C,1,1
user_1529,C,1,1
user_2202,C,1,1
user_0087,A,1,0
user_2582,C,1,0
user_1579,C,1,1
user_0830,A,1,0
user_0251,A,1,1
user_2315,C,1,1
user_0497,A,1,1
user_0556,A,1,0
user_1294,A,1,0
user_1162,A,1,1
user_0125,A,1,1
user_2065,C,1,1
user_2244,C,1,1
user_0687,A,1,1
user_0886,A,1,0
user_0982,A,1,0
user_2450,C,1,0
user_0193,A,1,1
user_1355,C,1,0
user_0036,A,1,1
user_0944,A,1,0
user_1313,C,1,0
user_1186,A,1,1
user_1018,A,1,1
user_2330,C,1,1
user_2447,C,1,1
user_0576,A,1,0
user_2128,C,1,0
user_0802,A,1,1
user_2305,C,1,0
user_0804,A,1,0
user_1533,C,1,1
user_2353,C,1,1
user_1233,A,1,0
user_2308,C,1,1
user_0505,A,1,1
user_1763,C,1,1
user_1635,C,1,0
user_1463,C,1,0
user_2289,C,1,1
user_1667,C,1,1
user_0328,A,1,0
user_1899,C,1,1
user_0508,A,1,1
user_2556,C,1,0
user_0761,A,1,0
user_2535,C,1,1
user_2241,C,1,0
user_0155,A,1,1
user_0249,A,1,0
user_0952,A,1,0
user_1228,A,1,0
user_1399,C,1,1
user_1349,C,1,1
user_0297,A,1,1
user_1642,C,1,1
user_2475,C,1,1
user_0513,A,1,0
user_1812,C,1,0
user_0912,A,1,0
user_0092,A,1,0
user_1118,A,1,0
user_0633,A,1,1
user_1742,C,1,0
user_2257,C,1,1
user_1175,A,1,1
user_1149,A,1,1
user_1083,A,1,1
user_2576,C,1,1
user_0115,A,1,0
user_1583,C,1,1
user_2153,C,1,1
user_0061,A,1,0
user_0461,A,1,1
user_1443,C,1,1
user_0959,A,1,1
user_0190,A,1,1
user_0610,A,1,1
user_0967,A,1,1
user_0904,A,1,0
user_2026,C,1,0
user_0085,A,1,1
user_1446,C,1,0
user_1750,C,1,1
user_2337,C,1,1
user_0945,A,1,1
user_1132,A,1,1
user_1332,C,1,1
user_1785,C,1,1
user_1010,A,1,1
user_2370,C,1,0
user_0478,A,1,0
user_2223,C,1,1
user_1375,C,1,1
user_1870,C,1,1
